事件名称,综合影响力,媒体参与家数,央媒得分,公众舆论指数,平均传播速度（条/小时）_对数变换,峰值传播速度（条/小时）_对数变换,事件持续时长(小时)_对数变换,渠道总数_对数变换,意见领袖总影响力(万)_对数变换,首发媒体权威度_1级,首发媒体权威度_2级,首发媒体权威度_3级,首发媒体权威度_4级,媒体权威度等级,是否为谣言
中国长安汽车集团更名,61.5,14,0.84,0.011,1.609437912,3.970291914,5.129898715,3.970291914,7.488852956,0,1,0,0,2,0
顺丰等多家快递公司拒收罗马仕充电宝,62.0,22,0.22,0.011,1.609437912,3.871201011,5.129898715,4.317488114,8.384575667,0,0,1,0,3,0
字节跳动辞退原豆包大模型负责人,61.7,23,0.17,0.01,1.945910149,4.290459441,5.129898715,4.406719247,7.930565854,0,0,1,0,3,0
唯品会副总裁冯佳路涉嫌贪腐被抓,66.0,38,0.72,0.052,2.197224577,5.379897354,5.262690189,4.94875989,7.53689713,0,1,0,0,2,0
脉动3D立体户外广告被吐槽挤占公共空间,57.9,16,0.22,0.003,1.098612289,3.36729583,5.262690189,3.784189634,6.12905021,0,1,0,0,2,0
警惕！直播时让人心动的开蚌30秒，可能是主播设计的表演,59.2,25,0.72,0.009,0.693147181,3.912023005,5.981414211,3.871201011,7.186144305,1,0,0,0,1,0
AI造谣“7月1日起老年人坐火车有新规”,64.8,27,0.82,0.012,1.386294361,4.844187086,6.070737728,4.158883083,6.498282149,0,1,0,0,2,0
内蒙古通报那尔那茜有关核查情况,77.3,31,0.33,0.23,4.912654886,8.755895082,4.795790546,5.236441963,9.445096239,1,0,0,0,1,0
小米汽车回应疑似销售诋毁其他品牌,59.4,14,0.22,0.016,1.609437912,4.077537444,4.976733742,3.784189634,7.820037989,0,0,1,0,3,0
奈雪被曝喝出青蛙,65.8,30,0.84,0.025,2.197224577,4.465908119,4.976733742,4.770684624,8.078688229,1,0,0,0,1,0
电影《酱园弄·悬案》上映,80.4,56,1.72,0.12,3.663561646,6.047372179,6.580639137,6.054439346,10.67996434,0,0,1,0,3,0
赵一鸣零食门店物资遭哄抢,66.1,7,0.06,0.038,2.564949357,5.634789603,5.129898715,3.688879454,9.052984561,0,0,0,1,4,0
华为开发者大会2025,73.4,46,2.06,0.067,3.663561646,6.633318433,5.129898715,5.484796933,9.506065016,0,1,0,0,2,0
车主称理想MEGA“自燃”,52.3,5,0.11,0.003,0.693147181,2.772588722,5.129898715,2.564949357,7.327780538,0,0,1,0,3,0
何猷君收购王思聪旗下企业,61.7,21,0.5,0.016,1.791759469,4.859812404,5.129898715,4.343805422,7.237059026,1,0,0,0,1,0
饿了么物流主管涉嫌职务犯罪,63.9,35,0.51,0.023,2.079441542,5.572154032,5.129898715,4.691347882,8.08085642,0,0,1,0,3,0
蜂鸟音乐指控邓紫棋侵权,70.6,28,0.5,0.055,3.218875825,6.588926478,5.129898715,4.941642423,9.087946724,0,1,0,0,2,0
广东怀集洪灾,73.2,52,1.9,0.052,3.17805383,5.365976015,5.129898715,5.80814249,8.99788945,0,1,0,0,2,0
多方回应诊所50元输三天液活动,63.2,24,0.61,0.018,1.386294361,3.931825633,5.379897354,4.65396035,7.329093736,0,0,1,0,3,0
宝能汽车回应公司清算解散言论,53.2,8,0.11,0.003,0.693147181,3.433987204,5.484796933,2.772588722,5.308267697,0,0,1,0,3,0
沈阳公交车与多车相撞致2死16伤,63.7,24,0.5,0.012,1.609437912,5.278114659,5.484796933,4.343805422,8.248790734,0,1,0,0,2,0
T3司机猥亵大三女生被行拘5日,69.3,29,0.17,0.046,2.772588722,6.818924065,5.484796933,4.852030264,8.595264727,0,1,0,0,2,0
江苏一医院称负债4400多万全员解聘,59.7,8,0.17,0.01,1.098612289,4.762173935,5.484796933,3.295836866,8.243282523,0,1,0,0,2,0
刘强东内部分享会,74.4,18,0.89,0.078,3.583518938,7.526717561,5.484796933,5.241747015,8.500657223,0,1,0,0,2,0
天津机场航站楼车祸,60.9,14,0.33,0.01,1.098612289,4.234106505,5.484796933,3.891820298,8.309676896,0,1,0,0,2,0
李雪琴公司被举报财务问题,74.7,60,0.67,0.098,3.433987204,6.588926478,5.484796933,5.888877958,9.055205875,0,0,1,0,3,0
酒店洗漱包内发现用过的HIV检测盒,64.1,13,0.22,0.029,1.609437912,5.370638028,5.484796933,4.234106505,8.692322278,0,1,0,0,2,0
北语一教授在清华大学被树砸中身亡,70.6,58,1.62,0.072,2.833213344,6.558197803,5.484796933,5.488937726,9.022925868,0,1,0,0,2,0
男子利用AI造谣“政府工作人员因买方便面被通报”,67.4,48,1.59,0.027,1.791759469,5.384495063,5.746203191,5.129898715,7.39387829,0,1,0,0,2,0
湖南一烟花厂爆炸,76.4,88,2.69,0.091,3.433987204,6.661854741,5.318119994,6.694562059,8.669399124,0,1,0,0,2,0
用患者手机下购物APP员工被停岗,57.4,7,0.17,0.007,0.693147181,3.828641396,5.318119994,3.044522438,7.539027056,0,0,1,0,3,0
广汽埃安回应员工股权风波,63.6,20,0.73,0.006,1.609437912,4.682131227,5.318119994,4.33073334,7.783224016,0,1,0,0,2,0
优衣库否认镜子有滤镜,67.7,20,0.22,0.039,2.302585093,5.332718793,5.318119994,4.584967479,8.667507952,1,0,0,0,1,0
黄子韬卫生巾被曝现黑色异物,66.9,23,0.17,0.027,2.197224577,5.545177444,5.318119994,4.553876892,8.59507973,0,0,1,0,3,0
罗马仕宣布召回超49万台充电宝,74.5,77,2.24,0.043,3.258096538,5.855071922,5.318119994,6.156978986,8.602453035,0,1,0,0,2,0
民营救护车800公里收费2.8万元,68.1,27,0.22,0.016,2.48490665,4.691347882,5.318119994,4.672828834,8.861350111,0,0,1,0,3,0
一胎生99子短剧引争议,70.2,65,1.57,0.036,2.63905733,5.176149733,5.429345629,5.739792912,9.106090351,0,1,0,0,2,0
深蓝S05维修工位上起火,51.1,5,0.11,0.002,0.693147181,2.890371758,5.429345629,2.890371758,6.135564891,0,1,0,0,2,0
江西一老师要求学生下跪写检讨,64.6,15,0.11,0.023,1.945910149,5.828945618,5.429345629,4.290459441,8.50795061,0,1,0,0,2,0
四川宜宾4.8级地震,69.0,62,1.46,0.049,2.772588722,6.186208624,4.795790546,5.641907071,8.40178234,1,0,0,0,1,0
杭州一泡泡玛特开业当天闭店,67.3,18,0.28,0.023,1.945910149,4.852030264,5.429345629,4.304065093,8.615045592,0,1,0,0,2,0
不合格公共健身器材合格证随便贴 因质量问题伤人事件频发,57.1,14,0.79,0.005,0.693147181,3.583518938,5.429345629,2.944438979,7.158513997,1,0,0,0,1,0
以色列宣布对伊朗发动打击,91.7,118,4.12,0.34,5.293304825,7.217443432,5.888877958,8.820699399,9.419790596,1,0,0,0,1,0
“多所高校禁用”，罗马仕宣布召回近50万台充电宝,78.2,83,2.58,0.054,3.433987204,6.88857246,6.040254711,6.472346295,8.785998208,0,1,0,0,2,0
国家铁路局局长费东斌被查,64.7,44,1.74,0.015,1.609437912,6.086774727,5.347107531,5.030437921,7.40367029,1,0,0,0,1,0
哪吒汽车发布“重整声明”,69.3,35,0.56,0.023,2.564949357,5.049856007,5.347107531,5.087596335,8.576027977,0,0,1,0,3,0
哪吒汽车员工围堵CEO讨薪,70.1,31,0.73,0.03,2.63905733,6.23636959,5.347107531,5.123963979,8.58634605,0,0,1,0,3,0
QQ回应大规模弹窗游戏广告,53.2,4,0.0,0.002,0.693147181,3.63758616,5.347107531,2.079441542,6.432940093,0,0,1,0,3,0
抖音发布关于治理网络“黑话烂梗”的公告,56.9,18,0.11,0.004,1.098612289,4.276666119,5.347107531,3.761200116,6.428105273,0,1,0,0,2,0
女孩暑假打工被血站抽血浆,62.4,22,0.17,0.011,1.609437912,4.812184355,5.347107531,4.077537444,8.040768994,0,1,0,0,2,0
华为发布 Pura 80 系列,79.4,69,2.3,0.1,4.672828834,7.543273347,5.129898715,6.514712691,9.730799445,0,0,1,0,3,0
京东官宣惠英红代言,65.1,10,0.17,0.007,2.48490665,5.023880521,5.379897354,3.63758616,9.299815378,0,0,0,1,4,0
苹果WWDC25开发者大会,75.4,37,0.73,0.064,3.17805383,5.963579344,5.552959585,5.863631176,9.26435496,0,0,0,1,4,0
重庆街头学生被老人用手铐铐住双手,60.0,12,0.17,0.006,1.098612289,4.48863637,5.552959585,3.761200116,7.955775782,0,1,0,0,2,0
2025中国网络文明大会举行,77.5,80,4.26,0.057,3.496507561,6.018593214,5.552959585,6.458338283,9.159573255,0,0,1,0,3,0
青岛一小米SU7 Ultra起火,61.2,13,0.22,0.008,1.098612289,4.890349128,5.552959585,4.025351691,7.963112059,0,1,0,0,2,0
腾讯音乐12.6亿美元收购喜马拉雅,72.9,58,2.47,0.03,3.044522438,6.519147288,5.552959585,5.602118821,8.099250562,0,0,1,0,3,0
丰田bz5上市,65.8,18,0.39,0.009,2.079441542,4.912654886,5.552959585,4.276666119,8.756525003,0,0,0,1,4,0
山东一大学禁用红米手机考试,62.7,15,0.28,0.013,1.386294361,4.442651256,5.552959585,4.219507705,8.161660452,0,0,1,0,3,0
“蹭饭书记”董桂林,59.5,21,0.61,0.003,0.693147181,3.091042453,6.580639137,3.951243719,8.368925175,0,0,1,0,3,0
驻日美军基地爆炸4人受伤,65.6,46,1.63,0.014,1.386294361,5.587248658,5.641907071,5.153291594,8.559294367,1,0,0,0,1,0
安徽一银行员工吃客户一碗面被扣3000元,60.8,11,0.0,0.004,1.098612289,3.951243719,5.641907071,3.761200116,7.818430272,0,1,0,0,2,0
蜜雪冰城一门店大肠菌群超标,68.4,33,1.07,0.028,2.48490665,5.886104031,5.262690189,4.919980926,8.824971966,0,0,1,0,3,0
央视曝光不防晒的防晒衣,72.2,49,1.8,0.039,3.091042453,6.478509642,5.379897354,5.141663557,9.032289682,0,0,1,0,3,0
银行柜员拿放大镜办业务被吐槽效率低,58.0,8,0.0,0.005,1.098612289,4.844187086,5.379897354,2.890371758,8.292798858,0,1,0,0,2,0
3人用AI编造悬空寺坍塌视频被罚,62.0,22,0.6,0.012,0.693147181,4.934473933,6.224558429,3.828641396,6.23636959,0,1,0,0,2,0
网传那尔那茜高考定向委培违约,72.3,36,0.11,0.018,3.091042453,5.398162702,5.484796933,5.442417711,9.393161804,0,1,0,0,2,0
马斯克的“星链”卫星大批坠落,68.3,48,1.96,0.009,2.302585093,5.010635294,5.379897354,5.379897354,8.945462952,0,0,0,1,4,0
胖东来发布人格尊严维权声明,58.8,13,0.28,0.004,1.098612289,4.65396035,5.379897354,3.663561646,6.238324625,0,0,1,0,3,0
袁记云饺门店回应肉馅有小虫爬,57.1,3,0.06,0.004,1.098612289,4.477336814,5.262690189,2.564949357,7.904334842,0,0,0,1,4,0
2025年重庆车展,70.0,31,1.4,0.011,2.995732274,5.370638028,5.579729826,4.8978398,9.224736252,0,0,1,0,3,0
电视剧《长安的荔枝》播出,88.2,115,3.46,0.099,4.955827058,6.442540166,6.632001777,7.424165281,10.4692558,0,1,0,0,2,0
腾讯QQ出现全球首位256级用户,66.3,31,0.62,0.011,2.302585093,5.556828062,5.379897354,4.983606622,8.508354243,1,0,0,0,1,0
公司要求员工一天打卡6次,57.4,4,0.11,0.004,0.693147181,4.406719247,5.484796933,3.044522438,7.836369761,0,0,1,0,3,0
洛杉矶大规模抓捕非法移民引发冲突,85.3,112,3.37,0.14,4.543294782,6.879355804,5.579729826,7.648739789,9.537122958,1,0,0,0,1,0
巴黎世家推出北京烤鸭包卖15500元,63.4,13,0.34,0.014,1.791759469,4.564348191,5.192956851,4.356708827,8.961494323,0,0,0,1,4,0
韦东奕开设社交媒体账号,74.3,34,0.51,0.022,3.258096538,5.693732139,5.484796933,5.525452939,8.921057018,0,0,1,0,3,0
宁波一家企业内部号召员工当卧底,52.3,4,0.06,0.001,0.693147181,3.713572067,5.484796933,2.564949357,7.510430556,0,1,0,0,2,0
韦东奕健康问题引关注,75.7,76,1.85,0.043,3.258096538,6.202535517,5.484796933,6.09356977,9.173572648,0,0,1,0,3,0
单依改编纯歌曲《李白》引争议,68.1,20,0.34,0.021,2.079441542,5.743003188,5.869296913,4.49980967,9.034318928,0,0,0,1,4,0
电视剧《临江仙》播出,86.1,13,0.5,0.073,4.510859507,6.434546519,6.831953566,5.762051383,9.481435641,0,1,0,0,2,0
广州警方悬赏通缉台湾20名黑客,68.5,2,0.06,0.062,1.945910149,5.777652323,5.579729826,3.828641396,9.172949983,1,0,0,0,1,0
东风与长安汽车重组终止,61.6,14,0.9,0.018,1.386294361,4.442651256,5.318119994,3.713572067,8.375399186,0,1,0,0,2,0
云南大理发生5.0级地震,72.1,61,2.3,0.11,2.772588722,6.37331979,5.318119994,5.749392986,8.513586696,1,0,0,0,1,0
特朗普与马斯克矛盾公开,85.6,111,3.82,0.37,4.691347882,7.593374193,5.579729826,7.72753511,9.477768715,1,0,0,0,1,0
国足0比1印尼提前出局,77.1,86,1.52,0.11,3.713572067,7.218909708,5.318119994,6.385194399,9.497472293,0,1,0,0,2,0
员工发烧37.9度请假遭HR辱骂,67.6,32,0.22,0.038,2.397895273,6.003887067,5.318119994,4.787491743,8.657998068,0,0,1,0,3,0
王自如官宣回归,70.0,23,0.62,0.03,2.564949357,5.648974238,5.318119994,5.105945474,9.066816362,0,1,0,0,2,0
白象多半袋面的“多半”是商标,77.7,95,3.29,0.1,3.258096538,7.764296006,6.628041376,6.306275287,8.87542692,0,1,0,0,2,0
迅雷5亿元收购虎扑,63.7,25,0.62,0.013,1.609437912,5.010635294,5.429345629,4.49980967,7.956476798,0,1,0,0,2,0
卡地亚被爆泄露用户数据,60.3,19,0.39,0.011,1.098612289,4.17438727,5.429345629,4.394449155,7.493317249,0,1,0,0,2,0
印度班加罗尔踩踏事件,63.7,35,1.01,0.02,1.386294361,5.123963979,5.429345629,4.736198448,8.353732642,1,0,0,0,1,0
苹果2025设计大奖揭晓,55.9,14,0.34,0.002,0.693147181,3.555348061,5.429345629,3.295836866,8.384575667,0,0,1,0,3,0
38岁男子酒后拖拽6岁女童进巷被拘,68.4,25,0.51,0.058,2.197224577,5.598421959,5.529429088,4.836281907,9.709052928,0,1,0,0,2,0
巴黎世家平角短裤造型裙子4500一条,65.5,21,0.34,0.018,1.609437912,4.356708827,5.529429088,4.615120517,8.810608796,0,1,0,0,2,0
哪吒汽车违反劳动保障条例被罚,56.3,11,0.22,0.009,0.693147181,4.418840608,5.529429088,3.135494216,6.70930434,0,1,0,0,2,0
外交部回应两名日本人在大连被杀害,63.3,28,0.73,0.03,1.386294361,5.513428746,5.529429088,4.787491743,8.944941508,0,1,0,0,2,0
淘宝被质疑商家可查看买家浏览记录,52.9,9,0.11,0.004,0.693147181,3.218875825,5.529429088,3.36729583,4.317488114,0,0,1,0,3,0
台湾旅行团整团被卖到缅甸,64.4,7,0.34,0.034,1.609437912,5.638354669,5.529429088,3.80666249,8.954673629,0,1,0,0,2,0
安徽师范大学通报“因猥亵被处分男教师再任职”,68.4,33,0.79,0.043,2.397895273,6.095824562,5.529429088,5.062595033,8.942983666,1,0,0,0,1,0
劈开家里用了几年的菜板，太吓人！,61.7,18,0.79,0.004,1.098612289,3.465735903,6.054439346,4.394449155,8.382747095,0,1,0,0,2,0
亚朵酒店被曝出现医院枕套,75.7,70,2.86,0.11,3.931825633,7.233455419,5.379897354,6.059123196,9.063347348,0,0,1,0,3,0
西子电梯总裁坠楼离世,63.4,23,0.62,0.016,1.609437912,5.068904202,5.379897354,4.574710979,8.00836557,0,1,0,0,2,0
上海警方通报“情侣与1家3口迪士尼打架”,70.0,36,0.73,0.12,2.63905733,5.866468057,5.484796933,5.214935758,8.880307359,0,0,1,0,3,0
何秋亊演唱会抄袭,76.3,21,0.28,0.1,4.564348191,8.018296139,5.579729826,4.934473933,9.141204633,0,1,0,0,2,0
兰州警方跨省抓捕女性网络小说作者,66.7,1,0.0,0.033,3.401197382,6.018593214,5.82008293,2.302585093,8.913415718,0,0,0,1,4,0
游客在安徽泾县桃花潭因停车纠纷被围殴,71.4,57,1.83,0.026,2.197224577,5.669880923,5.82008293,5.683579767,8.978408315,0,0,1,0,3,0
中信证券老鼠仓：前员工偷看私募大佬持仓,53.7,4,0.27,0.003,0.693147181,2.890371758,5.262690189,2.302585093,6.248042875,0,0,1,0,3,0
河北一化工企业爆炸致5死,62.8,35,1.07,0.05,1.386294361,5.081404365,5.484796933,4.718498871,8.028455164,1,0,0,0,1,0
南航通报“客机起飞15分钟紧急降落”,62.7,20,0.28,0.049,1.098612289,5.075173815,5.579729826,4.219507705,7.980365765,0,0,1,0,3,0
2025粤港澳大湾区车展,75.6,68,2.58,0.16,3.850147602,6.675823222,5.484796933,5.710427017,9.595534743,0,0,1,0,3,0
女子因姓名与被执行人“同音”屡遭传唤调查,59.9,8,0.0,0.01,1.098612289,4.442651256,5.484796933,3.33220451,8.132118773,0,1,0,0,2,0
顺丰寄丢价值5万手镯仅赔67元,60.2,11,0.06,0.019,1.098612289,4.094344562,5.666426688,3.80666249,8.311643949,0,0,0,1,4,0
追觅高管批员工8点下班太早,52.9,2,0.0,0.004,1.098612289,4.317488114,5.262690189,1.791759469,7.688913337,0,1,0,0,2,0
余承东雷军隔空互怼,67.6,14,0.06,0.085,1.386294361,5.752572639,6.613384218,4.343805422,8.870943864,0,0,0,1,4,0
瘫痪姑娘穿外骨骼cos哪吒,54.7,3,0.22,0.008,0.693147181,3.36729583,5.129898715,2.079441542,5.891644212,1,0,0,0,1,0
英伟达公布第一季度财报,71.1,26,1.01,0.1,2.397895273,5.683579767,5.746203191,4.663439094,8.568076402,0,0,1,0,3,0
韩国发生飞机坠毁事件,68.3,35,0.9,0.11,1.791759469,5.771441123,5.746203191,4.955827058,8.844336333,0,1,0,0,2,0
蒋雨融哈佛演讲争议,75.5,9,0.06,0.11,3.258096538,5.749392986,5.746203191,4.744932128,9.389323028,0,1,0,0,2,0
美团回收优惠券引争议,62.8,3,0.0,0.022,2.63905733,7.353081921,5.746203191,2.079441542,8.110427238,0,0,1,0,3,0
烟台科技学院校长硕士论文抄袭,62.5,34,0.67,0.034,1.098612289,5.129898715,5.746203191,4.418840608,7.434257382,0,1,0,0,2,0
理想汽车公布2025年第一季度财报,66.3,21,0.62,0.04,1.791759469,5.087596335,5.746203191,4.127134385,8.078067882,0,1,0,0,2,0
2025新一线城市官宣,65.1,4,0.0,0.043,1.791759469,5.225746674,5.484796933,3.295836866,8.741136423,0,0,1,0,3,0
警方通报共享单车坐垫内有情趣用品,66.2,24,0.45,0.053,2.079441542,5.541263545,5.484796933,4.94875989,8.66077392,0,0,1,0,3,0
泡泡玛特客服回应Labubu品控争议,58.9,9,0.22,0.019,1.098612289,3.891820298,5.484796933,3.258096538,8.226038429,0,1,0,0,2,0
重庆一建筑外脚手架倒塌,54.5,4,0.0,0.007,0.693147181,3.663561646,5.484796933,2.48490665,7.656810091,0,1,0,0,2,0
美法院叫停特朗普解放日关税政策,70.0,59,2.75,0.11,2.197224577,5.252273428,5.579729826,5.493061443,8.839421608,1,0,0,0,1,0
胖东来红内裤事件案宣判,73.2,65,1.91,0.15,2.890371758,6.752270376,5.746203191,5.843544417,8.996032669,0,1,0,0,2,0
湖北“妈妈岗”试行引争议,59.1,15,0.79,0.003,1.791759469,4.110873864,5.579729826,3.713572067,8.394347361,1,0,0,0,1,0
山东高密一化工车间发生爆炸事故,76.3,82,3.09,0.14,3.17805383,6.779921907,5.579729826,6.539585956,8.697846691,1,0,0,0,1,0
李亚鹏持股公司遭强执244万,57.7,13,0.0,0.006,0.693147181,3.583518938,5.579729826,3.663561646,6.906754779,0,0,1,0,3,0
古茗回应赤裸男子持刀闯入门店,59.1,4,0.06,0.007,1.098612289,3.891820298,5.579729826,3.433987204,8.680841483,0,0,1,0,3,0
教授称广东人用开水烫碗令人恶心引争议,67.8,31,0.34,0.031,2.079441542,5.886104031,5.579729826,4.934473933,8.675222056,0,1,0,0,2,0
曹氏鸭脖碗底印争议标语,61.5,9,0.06,0.013,1.386294361,5.225746674,5.484796933,3.33220451,8.250881145,0,0,1,0,3,0
小米发布2025年第一季度财报,73.4,40,1.63,0.054,2.995732274,6.09356977,5.484796933,5.384495063,9.097843341,0,0,1,0,3,0
快手发布2025年第一季度财报,67.2,30,0.95,0.024,2.197224577,5.537334267,5.579729826,4.33073334,8.3423635,0,1,0,0,2,0
拼多多发布2025年第一季度财报,70.4,57,2.13,0.034,2.48490665,5.293304825,5.579729826,5.159055299,8.147577736,0,1,0,0,2,0
知乎发布2025年第一季度业绩报告,59.0,23,0.67,0.008,1.098612289,4.779123493,5.579729826,3.526360525,8.395025557,0,1,0,0,2,0
比亚迪回应山东经销商暴雷,66.7,22,1.07,0.033,2.079441542,4.927253685,5.579729826,4.532599493,8.266678443,0,1,0,0,2,0
国际乒联就选举混乱致歉,68.4,46,1.12,0.044,1.945910149,5.164785974,5.579729826,5.463831805,8.514990768,0,1,0,0,2,0
第26届亚洲田径锦标赛举办,72.2,62,1.63,0.052,2.302585093,5.017279837,5.82008293,5.916202063,8.89781901,0,1,0,0,2,0
成都27岁女子家门口被害案开庭,71.9,19,0.11,0.057,2.890371758,5.669880923,5.33753808,5.170483995,8.732304571,0,0,1,0,3,0
深蓝汽车辟谣行驶中推送广告,68.2,35,1.12,0.024,2.197224577,4.553876892,5.579729826,4.94875989,8.253227646,0,1,0,0,2,0
演员张翰被起诉,68.9,30,0.56,0.049,2.48490665,6.045005314,5.446737372,5.062595033,8.786303878,0,0,1,0,3,0
沃尔沃汽车将在全球裁员近3000人,60.5,13,0.51,0.007,1.098612289,3.931825633,5.446737372,3.63758616,7.483806688,0,1,0,0,2,0
王健林已被冻结4.9亿股权,66.5,28,0.79,0.027,2.197224577,5.356586275,5.446737372,4.276666119,8.647694999,0,1,0,0,2,0
贾玲全资持股大碗娱乐,62.1,20,0.39,0.02,1.386294361,5.323009979,5.446737372,4.060443011,7.788211558,0,0,1,0,3,0
王健林再卖48座万达广场,72.5,46,1.46,0.086,3.044522438,6.570882962,5.545177444,5.513428746,8.862341964,0,1,0,0,2,0
海光信息拟吸收合并中科曙光,70.9,30,1.57,0.054,2.564949357,5.655991811,5.545177444,5.123963979,7.484930283,0,1,0,0,2,0
甘肃漳县发生塔吊倒塌事故致3死,61.5,34,0.84,0.019,1.098612289,5.361292166,5.545177444,4.442651256,7.330405212,1,0,0,0,1,0
部分移动游乐设施暗藏致命风险！《财经调查》曝光,56.6,4,0.22,0.007,0.693147181,3.663561646,5.545177444,2.833213344,7.496652438,1,0,0,0,1,0
普京所乘直升机遭无人机大规模袭击,69.7,33,1.07,0.041,2.197224577,5.293304825,5.545177444,5.111987788,9.12858787,1,0,0,0,1,0
蔚来通报充电站多辆汽车起火,60.0,16,0.17,0.017,1.098612289,4.33073334,5.634789603,4.17438727,7.620705087,0,0,1,0,3,0
女孩戴能量石3个月总是流鼻血,60.7,3,0.11,0.009,1.098612289,4.304065093,5.634789603,2.48490665,8.282988693,0,0,1,0,3,0
可复美回应被曝测不出重组胶原蛋白,66.9,23,0.9,0.016,1.791759469,4.442651256,5.634789603,4.477336814,8.24143969,0,0,0,1,4,0
梅州文旅宣传视频被指抄袭福建,58.9,13,0.17,0.007,1.098612289,3.713572067,5.129898715,3.931825633,7.943782692,1,0,0,0,1,0
名创优品发布第一季度财报,62.0,16,1.18,0.007,1.098612289,4.382026635,5.717027701,3.526360525,6.865891075,0,1,0,0,2,0
同程旅行发布2025年一季度财报,58.1,17,1.24,0.005,0.693147181,4.634728988,5.717027701,3.135494216,3.912023005,0,1,0,0,2,0
比亚迪回应被暗指“汽车圈恒大”,74.4,26,0.93,0.055,2.708050201,6.079933195,6.124683391,5.135798437,9.113499021,0,1,0,0,2,0
广西龙胜山洪泥石流灾害,69.5,58,1.85,0.025,2.302585093,5.899897354,5.262690189,5.700443573,7.427144133,1,0,0,0,1,0
曝快手要求员工每日刷1小时短视频,63.2,16,0.34,0.011,2.079441542,5.225746674,5.075173815,4.158883083,8.006034179,0,1,0,0,2,0
贵州发生2起山体滑坡,74.7,88,3.71,0.058,3.295836866,6.29156914,5.075173815,6.625392368,8.388450316,0,1,0,0,2,0
高合汽车新公司成立,66.1,25,0.79,0.012,2.397895273,5.117993812,5.075173815,4.477336814,8.30647216,0,1,0,0,2,0
BOSS直聘发布第一季度财报,58.8,16,0.45,0.004,1.386294361,4.736198448,5.075173815,3.135494216,5.147494477,0,1,0,0,2,0
联想集团发布2024/25财年业绩,64.4,22,1.07,0.013,1.945910149,5.986452005,5.075173815,3.80666249,7.542213463,0,1,0,0,2,0
美政府禁止哈佛招国际学生,81.6,114,3.82,0.17,4.48863637,6.717804695,5.075173815,7.33628566,9.563388748,1,0,0,0,1,0
张学友演唱会撞期高考遭多人投诉,71.4,41,1.01,0.05,3.258096538,6.66057515,5.075173815,5.564520407,8.579228582,0,1,0,0,2,0
买卖缅甸女子明码标价20万一个,61.6,3,0.0,0.011,1.609437912,5.267858159,5.075173815,3.044522438,8.454466362,0,0,1,0,3,0
微软收购动视暴雪反垄断诉讼撤销,51.5,5,0.22,0.002,0.693147181,3.295836866,5.075173815,2.397895273,7.189167738,0,0,1,0,3,0
黄杨钿甜父亲被立案调查,79.4,44,1.07,0.15,5.347107531,9.480520169,5.075173815,5.545177444,9.284891103,1,0,0,0,1,0
小米高管回应玄戒O1芯片质疑,62.7,4,0.11,0.007,2.079441542,5.420534999,5.075173815,3.091042453,8.401333305,1,0,0,0,1,0
阿里大文娱更名为“虎鲸文娱”,65.7,43,1.52,0.028,2.079441542,5.686975356,5.214935758,4.795790546,8.592486175,0,1,0,0,2,0
格力确认董明珠孟羽童将合体直播,72.0,40,1.12,0.03,3.091042453,5.533389489,5.214935758,5.533389489,8.887238354,0,1,0,0,2,0
特朗普会见南非总统时起争执,71.8,67,2.14,0.034,2.772588722,5.505331536,5.214935758,5.902633333,9.120525068,0,1,0,0,2,0
朝鲜驱逐舰下水发生事故,74.7,91,2.53,0.045,3.135494216,6.152732695,5.214935758,6.590301048,9.176990392,1,0,0,0,1,0
江西一高校学生偷拍被开除学籍,61.5,17,0.11,0.007,1.386294361,4.663439094,5.214935758,4.17438727,8.191186005,0,1,0,0,2,0
演员朱媛媛去世,82.2,72,1.35,0.3,4.709530201,7.853604813,5.214935758,6.761572769,9.669914806,0,1,0,0,2,0
小鹏汽车发布第一季度财报,67.7,24,1.12,0.026,2.48490665,5.170483995,5.214935758,4.204692619,8.515191189,0,1,0,0,2,0
携程集团公布第一季度财报,58.8,13,0.28,0.008,1.098612289,3.80666249,5.33753808,3.218875825,6.814542897,0,1,0,0,2,0
民营经济促进法今起实施,74.7,93,5.0,0.057,3.80666249,5.82008293,5.33753808,6.329720906,8.647870515,1,0,0,0,1,0
胖都来改名盈都来,67.0,27,0.67,0.028,2.079441542,5.752572639,5.33753808,4.812184355,8.206037763,0,0,1,0,3,0
宁德时代香港上市,74.9,59,3.54,0.077,3.496507561,6.267200549,5.33753808,5.710427017,8.081784207,0,0,0,1,4,0
三万罐劣质奶粉外包装标注为进口,51.6,3,0.06,0.002,0.693147181,3.044522438,5.33753808,1.609437912,6.7310181,0,1,0,0,2,0
网易游戏520发布会,54.4,8,0.34,0.003,1.098612289,4.442651256,5.33753808,2.302585093,8.007367068,0,1,0,0,2,0
蜜雪冰城回应网友倒卖柠檬水赚差价,69.8,31,1.12,0.04,2.564949357,5.575949103,5.33753808,5.164785974,8.631949429,0,0,0,1,4,0
深圳公安回应男子地铁口打人,65.3,17,0.45,0.015,2.48490665,6.34738921,5.33753808,3.891820298,8.682368589,1,0,0,0,1,0
安徽“网红提拉米苏”引发上百人高烧腹泻,63.0,7,0.06,0.021,1.609437912,4.33073334,5.33753808,3.583518938,8.734721004,0,0,1,0,3,0
